date_key,full_date,day_number,month_number,month_name,quarter_number,year_number,day_name,is_weekend
20260416,2026-04-16,16,4,April,2,2026,Thursday,0
20260417,2026-04-17,17,4,April,2,2026,Friday,0
20260418,2026-04-18,18,4,April,2,2026,Saturday,1
20260419,2026-04-19,19,4,April,2,2026,Sunday,1
20260420,2026-04-20,20,4,April,2,2026,Monday,0
20260421,2026-04-21,21,4,April,2,2026,Tuesday,0
20260422,2026-04-22,22,4,April,2,2026,Wednesday,0
20260423,2026-04-23,23,4,April,2,2026,Thursday,0
20260424,2026-04-24,24,4,April,2,2026,Friday,0
20260425,2026-04-25,25,4,April,2,2026,Saturday,1
20260426,2026-04-26,26,4,April,2,2026,Sunday,1
20260427,2026-04-27,27,4,April,2,2026,Monday,0
20260428,2026-04-28,28,4,April,2,2026,Tuesday,0
20260429,2026-04-29,29,4,April,2,2026,Wednesday,0
20260430,2026-04-30,30,4,April,2,2026,Thursday,0
20260501,2026-05-01,1,5,May,2,2026,Friday,0
20260502,2026-05-02,2,5,May,2,2026,Saturday,1
20260503,2026-05-03,3,5,May,2,2026,Sunday,1
20260504,2026-05-04,4,5,May,2,2026,Monday,0
20260505,2026-05-05,5,5,May,2,2026,Tuesday,0
20260506,2026-05-06,6,5,May,2,2026,Wednesday,0
20260507,2026-05-07,7,5,May,2,2026,Thursday,0
20260508,2026-05-08,8,5,May,2,2026,Friday,0
20260509,2026-05-09,9,5,May,2,2026,Saturday,1
20260510,2026-05-10,10,5,May,2,2026,Sunday,1
20260511,2026-05-11,11,5,May,2,2026,Monday,0
20260512,2026-05-12,12,5,May,2,2026,Tuesday,0
20260513,2026-05-13,13,5,May,2,2026,Wednesday,0
20260514,2026-05-14,14,5,May,2,2026,Thursday,0
20260515,2026-05-15,15,5,May,2,2026,Friday,0
20260516,2026-05-16,16,5,May,2,2026,Saturday,1
20260517,2026-05-17,17,5,May,2,2026,Sunday,1
20260518,2026-05-18,18,5,May,2,2026,Monday,0
20260519,2026-05-19,19,5,May,2,2026,Tuesday,0
20260520,2026-05-20,20,5,May,2,2026,Wednesday,0
20260521,2026-05-21,21,5,May,2,2026,Thursday,0
20260522,2026-05-22,22,5,May,2,2026,Friday,0
20260523,2026-05-23,23,5,May,2,2026,Saturday,1
20260524,2026-05-24,24,5,May,2,2026,Sunday,1
20260525,2026-05-25,25,5,May,2,2026,Monday,0
20260526,2026-05-26,26,5,May,2,2026,Tuesday,0
20260527,2026-05-27,27,5,May,2,2026,Wednesday,0
20260528,2026-05-28,28,5,May,2,2026,Thursday,0
20260529,2026-05-29,29,5,May,2,2026,Friday,0
20260530,2026-05-30,30,5,May,2,2026,Saturday,1
20260531,2026-05-31,31,5,May,2,2026,Sunday,1
20260601,2026-06-01,1,6,June,2,2026,Monday,0
20260602,2026-06-02,2,6,June,2,2026,Tuesday,0
20260603,2026-06-03,3,6,June,2,2026,Wednesday,0
20260604,2026-06-04,4,6,June,2,2026,Thursday,0
20260605,2026-06-05,5,6,June,2,2026,Friday,0
20260606,2026-06-06,6,6,June,2,2026,Saturday,1
20260607,2026-06-07,7,6,June,2,2026,Sunday,1
20260608,2026-06-08,8,6,June,2,2026,Monday,0
20260609,2026-06-09,9,6,June,2,2026,Tuesday,0
20260610,2026-06-10,10,6,June,2,2026,Wednesday,0
20260611,2026-06-11,11,6,June,2,2026,Thursday,0
20260612,2026-06-12,12,6,June,2,2026,Friday,0
20260613,2026-06-13,13,6,June,2,2026,Saturday,1
20260614,2026-06-14,14,6,June,2,2026,Sunday,1
20260615,2026-06-15,15,6,June,2,2026,Monday,0
20260616,2026-06-16,16,6,June,2,2026,Tuesday,0
20260617,2026-06-17,17,6,June,2,2026,Wednesday,0
20260618,2026-06-18,18,6,June,2,2026,Thursday,0
20260619,2026-06-19,19,6,June,2,2026,Friday,0
20260620,2026-06-20,20,6,June,2,2026,Saturday,1
20260621,2026-06-21,21,6,June,2,2026,Sunday,1
20260622,2026-06-22,22,6,June,2,2026,Monday,0
20260623,2026-06-23,23,6,June,2,2026,Tuesday,0
20260624,2026-06-24,24,6,June,2,2026,Wednesday,0
20260625,2026-06-25,25,6,June,2,2026,Thursday,0
20260626,2026-06-26,26,6,June,2,2026,Friday,0
20260627,2026-06-27,27,6,June,2,2026,Saturday,1
20260628,2026-06-28,28,6,June,2,2026,Sunday,1
20260629,2026-06-29,29,6,June,2,2026,Monday,0
20260630,2026-06-30,30,6,June,2,2026,Tuesday,0
20260701,2026-07-01,1,7,July,3,2026,Wednesday,0
20260702,2026-07-02,2,7,July,3,2026,Thursday,0
20260703,2026-07-03,3,7,July,3,2026,Friday,0
20260704,2026-07-04,4,7,July,3,2026,Saturday,1
20260705,2026-07-05,5,7,July,3,2026,Sunday,1
20260706,2026-07-06,6,7,July,3,2026,Monday,0
20260707,2026-07-07,7,7,July,3,2026,Tuesday,0
20260708,2026-07-08,8,7,July,3,2026,Wednesday,0
20260709,2026-07-09,9,7,July,3,2026,Thursday,0
20260710,2026-07-10,10,7,July,3,2026,Friday,0
20260711,2026-07-11,11,7,July,3,2026,Saturday,1
20260712,2026-07-12,12,7,July,3,2026,Sunday,1
20260713,2026-07-13,13,7,July,3,2026,Monday,0
20260714,2026-07-14,14,7,July,3,2026,Tuesday,0
